"dbIndex";"totwithinss";"betweenss";"";"";"";"";""
0.98534112214649;113.477929357495;225.481949016972;12;13;46;19;1
1.27863168624128;126.065470286419;214.283306916559;5;34;16;24;12
1.09177793475869;120.822060401963;219.471148969583;5;26;1;16;43
0.985272000709014;114.808542905772;225.498513987427;12;46;1;19;13
0.985358559375338;114.848938571976;225.499838631002;1;19;46;13;12
1.25155997494468;123.140132100765;217.208645102212;32;24;5;17;13
0.997651515680978;116.930606185992;223.365373981776;12;49;13;1;16
1.25152690516942;123.138470691452;217.210004904114;13;24;17;5;32
1.27468480565686;121.192049072351;219.103931095416;1;23;26;30;11
1.25147782523382;123.108939094457;217.20135200978;5;24;32;13;17
1.10500877287067;120.511504090058;219.78447607771;26;24;5;1;35
1.27475381708408;121.20546117031;219.104178605327;11;1;23;30;26
1.33111506494762;125.514865086904;214.795426017333;20;13;1;32;25
1.25158613686372;123.123897747303;217.196597159936;13;17;5;32;24
1.27852801451035;126.021528952129;214.274451215638;34;24;5;12;16
1.27467257664387;121.189184875762;219.104024495783;11;23;30;1;26
1.25147782523382;123.108939094457;217.20135200978;5;13;24;17;32
1.10500877287067;120.511504090058;219.78447607771;26;5;35;24;1
1.2212493220402;124.203012824216;216.106626951421;16;16;41;4;14
1.24968363946367;123.358404740501;216.926141638901;34;17;24;11;5
